2017-06-08 01:17:20.283 INFO  DefaultFactory Logging to 'c:\users\joshua\documents\visual studio 2017\Projects\CallItLocal\ClientApplicationMVC\App_Data\' with level Info
2017-06-08 01:17:20.521 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '04/06/2017'

2017-06-08 01:17:20.584 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'joshua-HP\joshua' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "joshua-HP\joshua" /add
2017-06-08 01:17:20.715 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.728 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.749 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.762 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.777 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.800 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.814 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.828 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.853 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.870 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.886 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient-1] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.900 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient-1] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 01:17:20.916 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-08 01:17:20.930 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-08 01:17:20.943 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
